"(Background Information, Full Name)","(Background Information, Nation)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Age)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","(Background Information, League)",market_value_in_eur,highest_market_value_in_eur
Djené,tg TOG,"DF,MF",Getafe,31,1991.0,33.0,30.0,2484.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.1,0.1,0.3,0.4,13.0,98.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,La Liga,3000000.0,30000000.0
Marko Dmitrović,rs SRB,GK,Sevilla,31,1992.0,13.0,13.0,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,1000000.0,7000000.0
Jaume Doménech,es ESP,GK,Valencia,32,1990.0,2.0,1.0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,900000.0,7500000.0
Carlos Dominguez,es ESP,DF,Celta Vigo,22,2001.0,22.0,18.0,1584.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,11.0,63.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,La Liga,300000.0,40000000.0
Mario Dominguez,es ESP,FW,Valencia,19,2004.0,3.0,0.0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,0.59,0.59,La Liga,200000.0,200000.0
Carlos Dotor,es ESP,MF,Celta Vigo,22,2001.0,17.0,7.0,708.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,3.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,La Liga,2500000.0,3000000.0
Anastasios Douvikas,gr GRE,FW,Celta Vigo,23,1999.0,32.0,7.0,905.0,10.1,7.0,1.0,8.0,7.0,0.0,0.0,2.0,0.0,4.6,4.6,1.3,5.9,10.0,13.0,53.0,0.7,0.1,0.8,0.7,0.8,0.46,0.13,0.59,0.46,0.59,La Liga,6000000.0,12000000.0
Artem Dovbyk,ua UKR,FW,Girona,26,1997.0,36.0,32.0,2587.0,28.7,24.0,8.0,32.0,17.0,7.0,8.0,2.0,0.0,24.2,17.9,6.2,24.1,18.0,26.0,118.0,0.83,0.28,1.11,0.59,0.87,0.84,0.21,1.05,0.62,0.84,La Liga,30000000.0,30000000.0
Domingos Duarte,pt POR,DF,Getafe,28,1995.0,15.0,11.0,907.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.3,0.3,0.1,0.4,7.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,La Liga,3000000.0,12000000.0
Rubén Duarte,es ESP,DF,Alavés,27,1995.0,28.0,21.0,1878.0,20.9,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,0.7,0.7,1.5,2.2,16.0,81.0,39.0,0.1,0.05,0.14,0.1,0.14,0.03,0.07,0.1,0.03,0.1,La Liga,2500000.0,6000000.0
Hugo Duro,es ESP,FW,Valencia,23,1999.0,37.0,35.0,2976.0,33.1,13.0,2.0,15.0,13.0,0.0,0.0,4.0,0.0,11.5,11.5,1.3,12.9,27.0,34.0,157.0,0.39,0.06,0.45,0.39,0.45,0.35,0.04,0.39,0.35,0.39,La Liga,16000000.0,16000000.0
Aritz Elustondo,es ESP,DF,Real Sociedad,29,1994.0,15.0,7.0,812.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.9,4.0,31.0,2.0,0.0,0.11,0.11,0.0,0.11,0.03,0.07,0.1,0.03,0.1,La Liga,9000000.0,20000000.0
Adri Embarba,es ESP,"FW,MF",Almería,31,1992.0,36.0,29.0,2476.0,27.5,3.0,2.0,5.0,2.0,1.0,1.0,5.0,0.0,4.3,3.5,4.4,8.0,94.0,58.0,167.0,0.11,0.07,0.18,0.07,0.15,0.16,0.16,0.32,0.13,0.29,La Liga,2000000.0,8000000.0
Youssef En-Nesyri,ma MAR,FW,Sevilla,26,1997.0,33.0,28.0,2570.0,28.6,16.0,2.0,18.0,15.0,1.0,1.0,4.0,0.0,10.8,10.0,1.3,11.3,17.0,17.0,81.0,0.56,0.07,0.63,0.53,0.6,0.38,0.04,0.42,0.35,0.4,La Liga,18000000.0,40000000.0
Gonzalo Escalante,ar ARG,MF,Cádiz,30,1993.0,25.0,18.0,1697.0,18.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,1.9,1.9,1.7,3.6,4.0,66.0,14.0,0.05,0.11,0.16,0.05,0.16,0.1,0.09,0.19,0.1,0.19,La Liga,2000000.0,5000000.0
Aarón Escandell,es ESP,GK,Las Palmas,27,1995.0,2.0,1.0,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,1000000.0,1000000.0
Alfonso Espino,uy URU,DF,Rayo Vallecano,31,1992.0,31.0,29.0,2507.0,27.9,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,2.8,3.8,41.0,113.0,89.0,0.0,0.04,0.04,0.0,0.04,0.04,0.1,0.14,0.04,0.14,La Liga,2500000.0,6000000.0
Bernardo Espinosa,co COL,DF,Girona,34,1989.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,1500000.0,7000000.0
Karl Etta,cm CMR,FW,Cádiz,19,2004.0,1.0,0.0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,500000.0,3500000.0
Abdessamad Ezzalzouli,ma MAR,"FW,MF",Barcelona,21,2001.0,2.0,0.0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,7.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,La Liga,12000000.0,15000000.0
Abdessamad Ezzalzouli,ma MAR,FW,Betis,21,2001.0,26.0,6.0,865.0,9.6,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.2,0.3,2.5,57.0,25.0,89.0,0.1,0.0,0.1,0.1,0.1,0.31,0.03,0.34,0.23,0.26,La Liga,12000000.0,15000000.0
Radamel Falcao,co COL,"FW,DF",Rayo Vallecano,37,1986.0,22.0,2.0,407.0,4.5,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,2.7,2.0,0.3,2.2,7.0,7.0,23.0,0.22,0.0,0.22,0.0,0.0,0.6,0.06,0.67,0.43,0.49,La Liga,900000.0,60000000.0
Fali,es ESP,DF,Cádiz,29,1993.0,30.0,30.0,2547.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.8,0.8,0.1,0.9,16.0,82.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,La Liga,2500000.0,3000000.0
Ansu Fati,es ESP,"MF,FW",Barcelona,20,2002.0,3.0,0.0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,1.34,1.34,1.34,La Liga,25000000.0,80000000.0
Nabil Fekir,fr FRA,"MF,FW",Betis,30,1993.0,19.0,10.0,1049.0,11.7,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.2,2.2,2.3,4.6,32.0,67.0,77.0,0.09,0.17,0.26,0.09,0.26,0.19,0.2,0.39,0.19,0.39,La Liga,12000000.0,70000000.0
Luiz Felipe,it ITA,DF,Betis,26,1997.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,0.07,La Liga,15000000.0,22000000.0
Luiz Felipe,it ITA,DF,Betis,26,1997.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,0.07,La Liga,200000.0,700000.0
João Félix,pt POR,FW,Barcelona,23,1999.0,30.0,18.0,1540.0,17.1,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,8.7,8.7,3.1,11.9,69.0,68.0,169.0,0.41,0.18,0.58,0.41,0.58,0.51,0.18,0.69,0.51,0.69,La Liga,30000000.0,100000000.0
Kiko Femenía,es ESP,DF,Villarreal,32,1991.0,23.0,16.0,1583.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.6,0.6,46.0,100.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,La Liga,1500000.0,6000000.0
Aitor Fernández,es ESP,GK,Osasuna,32,1991.0,7.0,6.0,551.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,50000.0,500000.0
Aitor Fernández,es ESP,GK,Osasuna,32,1991.0,7.0,6.0,551.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,2000000.0,10000000.0
Álex Fernández,es ESP,MF,Cádiz,30,1992.0,26.0,14.0,1285.0,14.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.8,1.0,11.0,52.0,26.0,0.0,0.07,0.07,0.0,0.07,0.02,0.05,0.07,0.02,0.07,La Liga,2000000.0,7500000.0
Carlos Fernández,es ESP,FW,Real Sociedad,27,1996.0,10.0,5.0,408.0,4.5,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.5,0.7,0.5,1.3,5.0,4.0,13.0,0.44,0.22,0.66,0.22,0.44,0.33,0.12,0.45,0.16,0.28,La Liga,3000000.0,10000000.0
Raúl Fernández,es ESP,GK,Granada,35,1988.0,4.0,4.0,280.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,300000.0,1500000.0
Valery Fernández,es ESP,"MF,FW",Girona,23,1999.0,27.0,2.0,506.0,5.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,0.8,1.5,20.0,12.0,54.0,0.36,0.0,0.36,0.36,0.36,0.12,0.14,0.26,0.12,0.26,La Liga,2500000.0,5000000.0
Fernando,es ESP,GK,Almería,33,1990.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,100000.0,10000000.0
Fernando,br BRA,MF,Sevilla,36,1987.0,8.0,5.0,459.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,5.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,La Liga,100000.0,10000000.0
André Ferreira,pt POR,GK,Granada,27,1996.0,15.0,14.0,1340.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,100000.0,400000.0
André Ferreira,pt POR,GK,Granada,27,1996.0,15.0,14.0,1340.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,800000.0,900000.0
André Ferreira,pt POR,GK,Granada,27,1996.0,15.0,14.0,1340.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,275000.0,275000.0
Rachad Fettal,ma MAR,FW,Almería,18,2005.0,1.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.41,0.12,0.53,0.41,0.53,La Liga,1000000.0,30000000.0
Pablo Fornals,es ESP,"FW,MF",Betis,27,1996.0,15.0,14.0,1148.0,12.8,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,1.8,1.8,1.6,3.4,37.0,89.0,82.0,0.24,0.16,0.39,0.24,0.39,0.14,0.13,0.27,0.14,0.27,La Liga,17000000.0,30000000.0
Héctor Fort,es ESP,DF,Barcelona,16,2006.0,7.0,4.0,318.0,3.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,3.0,7.0,38.0,0.0,0.57,0.57,0.0,0.57,0.0,0.23,0.23,0.0,0.23,La Liga,7500000.0,7500000.0
Dimitri Foulquier,fr FRA,"DF,MF",Valencia,30,1993.0,33.0,19.0,1842.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.2,1.8,42.0,72.0,64.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,La Liga,2500000.0,4000000.0
Juan Foyth,ar ARG,DF,Villarreal,25,1998.0,12.0,12.0,1062.0,11.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.9,1.3,19.0,51.0,28.0,0.08,0.08,0.17,0.08,0.17,0.03,0.08,0.11,0.03,0.11,La Liga,18000000.0,25000000.0
Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,26,1997.0,36.0,14.0,1549.0,17.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.6,2.6,1.4,4.0,42.0,40.0,144.0,0.12,0.0,0.12,0.12,0.12,0.15,0.08,0.23,0.15,0.23,La Liga,4000000.0,15000000.0
Daniel Fuzato,br BRA,GK,Getafe,26,1997.0,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,1000000.0,1000000.0
Matteo Gabbia,it ITA,DF,Villarreal,23,1999.0,7.0,6.0,477.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,La Liga,8000000.0,9000000.0
Javi Galán,es ESP,DF,Atlético Madrid,28,1994.0,5.0,0.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,La Liga,7000000.0,12000000.0
Javi Galán,es ESP,DF,Real Sociedad,28,1994.0,14.0,13.0,1075.0,11.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.7,0.8,46.0,45.0,70.0,0.0,0.08,0.08,0.0,0.08,0.01,0.06,0.07,0.01,0.07,La Liga,7000000.0,12000000.0
Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,29,1993.0,29.0,25.0,2091.0,23.2,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,2.3,2.6,26.0,147.0,36.0,0.04,0.04,0.09,0.04,0.09,0.01,0.1,0.11,0.01,0.11,La Liga,5000000.0,5000000.0
Aleix García,es ESP,MF,Girona,26,1997.0,37.0,36.0,3199.0,35.5,3.0,6.0,9.0,3.0,0.0,0.0,4.0,1.0,1.8,1.8,5.5,7.3,58.0,294.0,52.0,0.08,0.17,0.25,0.08,0.25,0.05,0.16,0.21,0.05,0.21,La Liga,25000000.0,25000000.0
Álvaro García,es ESP,"FW,MF",Rayo Vallecano,30,1992.0,32.0,30.0,2475.0,27.5,6.0,1.0,7.0,6.0,0.0,0.0,8.0,1.0,6.2,6.2,3.0,9.2,56.0,63.0,252.0,0.22,0.04,0.25,0.22,0.25,0.22,0.11,0.33,0.22,0.33,La Liga,150000.0,600000.0
Álvaro García,es ESP,"FW,MF",Rayo Vallecano,30,1992.0,32.0,30.0,2475.0,27.5,6.0,1.0,7.0,6.0,0.0,0.0,8.0,1.0,6.2,6.2,3.0,9.2,56.0,63.0,252.0,0.22,0.04,0.25,0.22,0.25,0.22,0.11,0.33,0.22,0.33,La Liga,4000000.0,6000000.0
Álvaro García,es ESP,"FW,MF",Rayo Vallecano,30,1992.0,32.0,30.0,2475.0,27.5,6.0,1.0,7.0,6.0,0.0,0.0,8.0,1.0,6.2,6.2,3.0,9.2,56.0,63.0,252.0,0.22,0.04,0.25,0.22,0.25,0.22,0.11,0.33,0.22,0.33,La Liga,200000.0,200000.0
Dani García,es ESP,MF,Athletic Club,33,1990.0,17.0,7.0,745.0,8.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.2,1.0,3.0,36.0,4.0,0.12,0.0,0.12,0.12,0.12,0.1,0.03,0.12,0.1,0.12,La Liga,2000000.0,6000000.0
David García,es ESP,DF,Osasuna,29,1994.0,27.0,27.0,2334.0,25.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.3,2.2,21.0,133.0,4.0,0.0,0.04,0.04,0.0,0.04,0.04,0.05,0.09,0.04,0.09,La Liga,50000.0,1500000.0
David García,es ESP,DF,Osasuna,29,1994.0,27.0,27.0,2334.0,25.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.3,2.2,21.0,133.0,4.0,0.0,0.04,0.04,0.0,0.04,0.04,0.05,0.09,0.04,0.09,La Liga,14000000.0,20000000.0
Eric García,es ESP,DF,Barcelona,22,2001.0,2.0,0.0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,La Liga,15000000.0,20000000.0
Eric García,es ESP,DF,Girona,22,2001.0,30.0,30.0,2637.0,29.3,5.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,2.8,2.8,0.5,3.4,45.0,221.0,18.0,0.17,0.0,0.17,0.17,0.17,0.1,0.02,0.12,0.1,0.12,La Liga,15000000.0,20000000.0
Fran Garcia,es ESP,DF,Real Madrid,23,1999.0,25.0,15.0,1398.0,15.5,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,2.4,3.0,53.0,60.0,139.0,0.06,0.32,0.39,0.06,0.39,0.03,0.16,0.19,0.03,0.19,La Liga,600000.0,2400000.0
Francisco Jesús Crespo García,es ESP,FW,Las Palmas,27,1996.0,17.0,6.0,504.0,5.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,0.6,1.9,17.0,20.0,66.0,0.36,0.0,0.36,0.36,0.36,0.23,0.11,0.34,0.23,0.34,La Liga,250000.0,5000000.0
Gonzalo García,es ESP,"FW,MF",Real Madrid,19,2004.0,2.0,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,La Liga,300000.0,1500000.0
Jastin García,es ESP,FW,Girona,19,2004.0,3.0,0.0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,250000.0,5000000.0
Raúl García,es ESP,"FW,MF",Athletic Club,37,1986.0,20.0,1.0,420.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.0,0.9,4.0,19.0,15.0,0.21,0.0,0.21,0.21,0.21,0.2,0.0,0.2,0.2,0.2,La Liga,2000000.0,16000000.0
Raúl García,es ESP,"FW,MF",Athletic Club,37,1986.0,20.0,1.0,420.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.0,0.9,4.0,19.0,15.0,0.21,0.0,0.21,0.21,0.21,0.2,0.0,0.2,0.2,0.2,La Liga,50000.0,50000.0
Raúl García,es ESP,"FW,MF",Athletic Club,37,1986.0,20.0,1.0,420.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.0,0.9,4.0,19.0,15.0,0.21,0.0,0.21,0.21,0.21,0.2,0.0,0.2,0.2,0.2,La Liga,3000000.0,4000000.0
Rubén García,es ESP,"FW,MF",Osasuna,30,1993.0,30.0,19.0,1547.0,17.2,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,2.3,2.3,3.3,5.6,16.0,59.0,117.0,0.17,0.12,0.29,0.17,0.29,0.13,0.19,0.33,0.13,0.33,La Liga,3000000.0,10000000.0
Rubén García,es ESP,"FW,MF",Osasuna,30,1993.0,30.0,19.0,1547.0,17.2,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,2.3,2.3,3.3,5.6,16.0,59.0,117.0,0.17,0.12,0.29,0.17,0.29,0.13,0.19,0.33,0.13,0.33,La Liga,200000.0,250000.0
Unai García,es ESP,DF,Osasuna,31,1992.0,9.0,6.0,560.0,6.2,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.1,0.1,0.0,0.1,2.0,12.0,1.0,0.16,0.0,0.16,0.16,0.16,0.02,0.0,0.02,0.02,0.02,La Liga,1500000.0,2500000.0
Federico Gattoni,ar ARG,"DF,FW",Sevilla,24,1999.0,2.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,3500000.0,5500000.0
Gavi,es ESP,"MF,FW",Barcelona,18,2004.0,12.0,10.0,944.0,10.5,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,1.1,2.0,26.0,39.0,38.0,0.1,0.1,0.19,0.1,0.19,0.09,0.1,0.19,0.09,0.19,La Liga,90000000.0,90000000.0
Paulo Gazzaniga,ar ARG,GK,Girona,31,1992.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,La Liga,4000000.0,4000000.0
David Gil,es ESP,GK,Cádiz,29,1994.0,5.0,4.0,372.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,700000.0,800000.0
Maxi Gómez,uy URU,FW,Cádiz,26,1996.0,31.0,12.0,1163.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.6,1.6,0.6,2.2,13.0,11.0,54.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.17,0.12,0.17,La Liga,2500000.0,40000000.0
Moi Gómez,es ESP,"MF,FW",Osasuna,29,1994.0,28.0,23.0,2006.0,22.3,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.7,1.7,0.9,2.6,36.0,127.0,69.0,0.13,0.0,0.13,0.13,0.13,0.08,0.04,0.12,0.08,0.12,La Liga,5000000.0,10000000.0
Unai Gómez,es ESP,MF,Athletic Club,20,2003.0,25.0,9.0,875.0,9.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,0.7,2.1,20.0,28.0,48.0,0.21,0.0,0.21,0.21,0.21,0.15,0.07,0.22,0.15,0.22,La Liga,1500000.0,1500000.0
Édgar González,es ESP,"DF,MF",Almería,26,1997.0,31.0,30.0,2522.0,28.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,2.3,2.3,0.3,2.6,6.0,72.0,6.0,0.07,0.0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,La Liga,100000.0,2200000.0
Fabio González,es ESP,MF,Las Palmas,26,1997.0,6.0,1.0,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,600000.0,600000.0
Giovanni González,uy URU,DF,Mallorca,28,1994.0,34.0,27.0,2464.0,27.4,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.5,0.5,1.4,1.8,28.0,91.0,95.0,0.04,0.04,0.07,0.04,0.07,0.02,0.05,0.07,0.02,0.07,La Liga,2500000.0,2500000.0
Hugo González,es ESP,"MF,FW",Valencia,20,2003.0,9.0,0.0,87.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0,7.0,0.0,1.03,1.03,0.0,1.03,0.02,0.53,0.55,0.02,0.55,La Liga,250000.0,250000.0
Iñaki González,es ESP,MF,Las Palmas,19,2004.0,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,100000.0,2200000.0
